PassengerId,Survived
1,0
2,0
3,0
4,0
5,0
6,1
7,1
8,0
9,0
10,0
11,0
12,0
13,0
14,1
15,0
16,1
17,0
18,1
19,1
20,0
21,0
22,1
23,0
24,1
25,0
26,0
27,1
28,0
29,0
30,0
31,1
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,1
40,0
41,1
42,0
43,0
44,1
45,0
46,0
47,1
48,1
49,0
50,0
51,0
52,1
53,1
54,1
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,1
63,0
64,0
65,0
66,1
67,0
68,0
69,0
70,0
71,1
72,1
73,1
74,1
75,0
76,0
77,0
78,0
79,0
80,1
81,1
82,1
83,0
84,0
85,0
86,0
87,1
88,0
89,1
90,0
91,1
92,1
93,1
94,0
95,0
96,0
97,0
98,0
99,1
100,1
101,1
102,1
103,0
104,0
105,1
106,1
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,1
115,1
116,1
117,1
118,1
119,0
120,0
121,1
122,0
123,0
124,0
125,1
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,1
134,1
135,0
136,1
137,0
138,0
139,0
140,1
141,0
142,1
143,0
144,0
145,0
146,1
147,0
148,1
149,0
150,0
151,0
152,1
153,1
154,1
155,0
156,0
157,0
158,1
159,0
160,1
161,1
162,0
163,0
164,1
165,0
166,1
167,0
168,1
169,0
170,0
171,1
172,0
173,0
174,1
175,1
176,0
177,0
178,0
179,0
180,0
181,1
182,1
183,1
184,0
185,0
186,1
187,0
188,0
189,0
190,1
191,1
192,0
193,1
194,0
195,1
196,0
197,1
198,1
199,1
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,1
210,0
211,0
212,0
213,0
214,0
215,1
216,1
217,0
218,1
219,0
220,0
221,1
222,1
223,0
